Timeslot,Retry 1,Retry 2,Retry 3,Retry 4,Retry 5,Total
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,0.50000,0.00000,0.00000,0.00000,0.00000,0.50000
2,0.50000,0.12500,0.00000,0.00000,0.00000,0.62500
3,0.00000,0.25000,0.01562,0.00000,0.00000,0.26562
4,0.00000,0.25000,0.04688,0.00098,0.00000,0.29785
5,0.00000,0.25000,0.07812,0.00391,0.00003,0.33206
6,0.00000,0.12500,0.10938,0.00879,0.00015,0.24332
7,0.00000,0.00000,0.12500,0.01562,0.00043,0.14105
8,0.00000,0.00000,0.12500,0.02344,0.00092,0.14935
9,0.00000,0.00000,0.12500,0.03125,0.00165,0.15790
10,0.00000,0.00000,0.12500,0.03906,0.00262,0.16669
11,0.00000,0.00000,0.10938,0.04688,0.00385,0.16010
12,0.00000,0.00000,0.07812,0.05371,0.00531,0.13715
13,0.00000,0.00000,0.04688,0.05859,0.00699,0.11246
14,0.00000,0.00000,0.01562,0.06152,0.00882,0.08597
15,0.00000,0.00000,0.00000,0.06250,0.01074,0.07324
16,0.00000,0.00000,0.00000,0.06250,0.01270,0.07520
17,0.00000,0.00000,0.00000,0.06250,0.01465,0.07715
18,0.00000,0.00000,0.00000,0.06250,0.01660,0.07910
19,0.00000,0.00000,0.00000,0.06250,0.01855,0.08105
20,0.00000,0.00000,0.00000,0.06152,0.02051,0.08203
21,0.00000,0.00000,0.00000,0.05859,0.02243,0.08102
22,0.00000,0.00000,0.00000,0.05371,0.02426,0.07797
23,0.00000,0.00000,0.00000,0.04688,0.02594,0.07281
24,0.00000,0.00000,0.00000,0.03906,0.02740,0.06647
25,0.00000,0.00000,0.00000,0.03125,0.02863,0.05988
26,0.00000,0.00000,0.00000,0.02344,0.02960,0.05304
27,0.00000,0.00000,0.00000,0.01562,0.03033,0.04596
28,0.00000,0.00000,0.00000,0.00879,0.03082,0.03961
29,0.00000,0.00000,0.00000,0.00391,0.03110,0.03500
30,0.00000,0.00000,0.00000,0.00098,0.03122,0.03220
31,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
32,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
33,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
34,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
35,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
36,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
37,0.00000,0.00000,0.00000,0.00000,0.03122,0.03122
38,0.00000,0.00000,0.00000,0.00000,0.03110,0.03110
39,0.00000,0.00000,0.00000,0.00000,0.03082,0.03082
40,0.00000,0.00000,0.00000,0.00000,0.03033,0.03033
41,0.00000,0.00000,0.00000,0.00000,0.02960,0.02960
42,0.00000,0.00000,0.00000,0.00000,0.02863,0.02863
43,0.00000,0.00000,0.00000,0.00000,0.02740,0.02740
44,0.00000,0.00000,0.00000,0.00000,0.02594,0.02594
45,0.00000,0.00000,0.00000,0.00000,0.02426,0.02426
46,0.00000,0.00000,0.00000,0.00000,0.02243,0.02243
47,0.00000,0.00000,0.00000,0.00000,0.02051,0.02051
48,0.00000,0.00000,0.00000,0.00000,0.01855,0.01855
49,0.00000,0.00000,0.00000,0.00000,0.01660,0.01660
50,0.00000,0.00000,0.00000,0.00000,0.01465,0.01465
51,0.00000,0.00000,0.00000,0.00000,0.01270,0.01270
52,0.00000,0.00000,0.00000,0.00000,0.01074,0.01074
53,0.00000,0.00000,0.00000,0.00000,0.00882,0.00882
54,0.00000,0.00000,0.00000,0.00000,0.00699,0.00699
55,0.00000,0.00000,0.00000,0.00000,0.00531,0.00531
56,0.00000,0.00000,0.00000,0.00000,0.00385,0.00385
57,0.00000,0.00000,0.00000,0.00000,0.00262,0.00262
58,0.00000,0.00000,0.00000,0.00000,0.00165,0.00165
59,0.00000,0.00000,0.00000,0.00000,0.00092,0.00092
60,0.00000,0.00000,0.00000,0.00000,0.00043,0.00043
61,0.00000,0.00000,0.00000,0.00000,0.00015,0.00015
62,0.00000,0.00000,0.00000,0.00000,0.00003,0.00003
63,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
