Timeslot,BEB,MBEB
0,1.00000,1.00000
1,0.50000,0.50000
2,0.62500,0.50000
3,0.26562,0.25000
4,0.29785,0.25000
5,0.33206,0.25000
6,0.24332,0.25000
7,0.14105,0.12500
8,0.14935,0.12500
9,0.15790,0.12500
10,0.16669,0.12500
11,0.16010,0.12500
12,0.13715,0.12500
13,0.11246,0.12500
14,0.08597,0.12500
15,0.07324,0.06250
16,0.07520,0.06250
17,0.07715,0.06250
18,0.07910,0.06250
19,0.08105,0.06250
20,0.08203,0.06250
21,0.08102,0.06250
22,0.07797,0.06250
23,0.07281,0.06250
24,0.06647,0.06250
25,0.05988,0.06250
26,0.05304,0.06250
27,0.04596,0.06250
28,0.03961,0.06250
29,0.03500,0.06250
30,0.03220,0.06250
31,0.03125,0.03125
32,0.03125,0.03125
33,0.03125,0.03125
34,0.03125,0.03125
35,0.03125,0.03125
36,0.03125,0.03125
37,0.03122,0.03125
38,0.03110,0.03125
39,0.03082,0.03125
40,0.03033,0.03125
41,0.02960,0.03125
42,0.02863,0.03125
43,0.02740,0.03125
44,0.02594,0.03125
45,0.02426,0.03125
46,0.02243,0.03125
47,0.02051,0.03125
48,0.01855,0.03125
49,0.01660,0.03125
50,0.01465,0.03125
51,0.01270,0.03125
52,0.01074,0.03125
53,0.00882,0.03125
54,0.00699,0.03125
55,0.00531,0.03125
56,0.00385,0.03125
57,0.00262,0.03125
58,0.00165,0.03125
59,0.00092,0.03125
60,0.00043,0.03125
61,0.00015,0.03125
62,0.00003,0.03125
63,0.00000,0.00000
