Timeslot,Retry 1,Retry 2,Retry 3,Retry 4,Retry 5,Total
0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
1,0.50000,0.00000,0.00000,0.00000,0.00000,0.50000
2,0.50000,0.00000,0.00000,0.00000,0.00000,0.50000
3,0.00000,0.25000,0.00000,0.00000,0.00000,0.25000
4,0.00000,0.25000,0.00000,0.00000,0.00000,0.25000
5,0.00000,0.25000,0.00000,0.00000,0.00000,0.25000
6,0.00000,0.25000,0.00000,0.00000,0.00000,0.25000
7,0.00000,0.00000,0.12500,0.00000,0.00000,0.12500
8,0.00000,0.00000,0.12500,0.00000,0.00000,0.12500
9,0.00000,0.00000,0.12500,0.00000,0.00000,0.12500
10,0.00000,0.00000,0.12500,0.00000,0.00000,0.12500
11,0.00000,0.00000,0.12500,0.00000,0.00000,0.12500
12,0.00000,0.00000,0.12500,0.00000,0.00000,0.12500
13,0.00000,0.00000,0.12500,0.00000,0.00000,0.12500
14,0.00000,0.00000,0.12500,0.00000,0.00000,0.12500
15,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
16,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
17,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
18,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
19,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
20,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
21,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
22,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
23,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
24,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
25,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
26,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
27,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
28,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
29,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
30,0.00000,0.00000,0.00000,0.06250,0.00000,0.06250
31,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
32,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
33,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
34,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
35,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
36,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
37,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
38,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
39,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
40,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
41,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
42,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
43,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
44,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
45,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
46,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
47,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
48,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
49,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
50,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
51,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
52,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
53,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
54,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
55,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
56,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
57,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
58,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
59,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
60,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
61,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
62,0.00000,0.00000,0.00000,0.00000,0.03125,0.03125
63,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
